brand,region,sales
Toyota,America,589
Ford,Ireland,591
Nissan,Poland,626
Jeep,South Africa,697
Chevrolet,America,791
BMW,Ireland,840
BMW,Poland,575
Saturn,South Africa,582
Honda,America,773
Mercedes-Benz,Ireland,700
Mercury,Poland,620
Mitsubishi,South Africa,878
Mercury,America,507
Volvo,Ireland,584
Ford,Poland,683
Dodge,South Africa,562
Oldsmobile,America,951
Toyota,Ireland,775
Pontiac,Poland,754
Infiniti,South Africa,683
Volkswagen,America,929
Chrysler,Ireland,884
Ford,Poland,695
Mercedes-Benz,South Africa,688
Cadillac,America,983
Jaguar,Ireland,607
Mercedes-Benz,Poland,984
Jeep,South Africa,954
Suzuki,America,792
Chevrolet,Ireland,524
Land Rover,Poland,789
GMC,South Africa,758
Ford,America,849
Mazda,Ireland,548
Dodge,Poland,684
Lincoln,South Africa,947
Cadillac,America,843
Saturn,Ireland,694
Nissan,Poland,656
Lexus,South Africa,812
Ford,America,903
Honda,Ireland,846
Oldsmobile,Poland,569
Honda,South Africa,566
Toyota,America,777
Ford,India,775
Mitsubishi,Australia,756
Nissan,Srilanka,627
Nissan,India,953
Honda,Australia,535
Toyota,Srilanka,792
Infiniti,India,942
Plymouth,Australia,938
Toyota,Srilanka,520
Austin,India,878
Ford,Australia,957
Ford,Srilanka,849
Mazda,India,665
Lamborghini,Australia,841
Isuzu,Srilanka,815
MINI,India,969
Toyota,Australia,786
Mercury,Srilanka,985
Audi,India,837
Mitsubishi,Australia,844
Bentley,Srilanka,534
Nissan,India,792
Infiniti,South Africa,821
Chrysler,America,532
Isuzu,Ireland,639
Porsche,Poland,611
GMC,South Africa,922
Pontiac,America,628
Mercury,Ireland,917
Mitsubishi,Poland,640
Pontiac,South Africa,974
Subaru,America,823
Hyundai,Ireland,565
Mitsubishi,Poland,962
Saab,South Africa,788
Maybach,America,823
Audi,Ireland,540
Honda,Poland,554
Audi,South Africa,855
Mazda,America,561
Toyota,Ireland,777
Mercedes-Benz,Poland,513
Mazda,South Africa,678
Hyundai,America,745
Scion,Ireland,983
Volkswagen,Poland,947
Honda,South Africa,837
Nissan,America,763
Ford,Ireland,799
GMC,Poland,645
GMC,South Africa,788
Isuzu,America,676
Acura,Ireland,899
Infiniti,Poland,998
Mitsubishi,South Africa,602
Chevrolet,America,857
Dodge,Ireland,757
Pontiac,Poland,813
Pontiac,South Africa,553
Chevrolet,America,855
Bentley,Ireland,861
Chrysler,Poland,577
Kia,South Africa,812
Mercedes-Benz,America,877
Chrysler,Ireland,605
Nissan,Poland,708
Audi,South Africa,534
Fillmore,America,699
Dodge,Ireland,973
Mitsubishi,Poland,514
Honda,South Africa,618
Oldsmobile,America,541
Chevrolet,India,512
Hyundai,Australia,532
Cadillac,Srilanka,623
Honda,India,869
Pontiac,Australia,803
Nissan,Srilanka,824
Pontiac,India,988
BMW,Australia,794
Ford,Srilanka,946
Lincoln,India,586
Mercedes-Benz,Australia,613
Saab,Srilanka,606
Subaru,India,708
Honda,Australia,568
BMW,Srilanka,813
Chevrolet,India,729
Saturn,Australia,711
Hyundai,Srilanka,565
Ford,India,955
Land Rover,Australia,670
GMC,Srilanka,764
Mitsubishi,India,519
Subaru,South Africa,898
Subaru,America,515
Chrysler,Ireland,721
Suzuki,Poland,903
BMW,South Africa,706
Chevrolet,America,915
Saturn,Ireland,748
Nissan,Poland,543
Chevrolet,South Africa,576
Ford,America,669
Pontiac,Ireland,656
Mercury,Poland,620
Volkswagen,South Africa,838
GMC,America,565
Lexus,Ireland,567
Toyota,Poland,500
Dodge,South Africa,869
Ford,America,933
Mitsubishi,Ireland,674
Hyundai,Poland,680
Audi,South Africa,988
Nissan,America,847
Lexus,Ireland,945
GMC,Poland,937
Volkswagen,South Africa,574
Mercedes-Benz,America,593
Lamborghini,Ireland,552
Chevrolet,Poland,589
Honda,South Africa,705
GMC,America,943
Rolls-Royce,Ireland,810
Chevrolet,Poland,840
Chevrolet,South Africa,654
Bentley,America,706
Honda,Ireland,822
Mercury,Poland,636
Subaru,South Africa,991
Toyota,America,856
Lincoln,Ireland,620
Chevrolet,Poland,735
Mercury,South Africa,740
Dodge,America,764
Chrysler,Ireland,955
Mitsubishi,Poland,745
Land Rover,South Africa,700
Toyota,America,507
Mazda,Ireland,593
Dodge,Poland,721
Volvo,South Africa,718
BMW,America,535
Acura,India,774
Mitsubishi,Australia,531
Honda,Srilanka,872
Audi,India,503
Honda,Australia,559
Lincoln,Srilanka,566
Nissan,India,803
Volvo,Australia,825
Lotus,Srilanka,855
Ford,India,532
Ford,Australia,554
Chevrolet,Srilanka,571
Chrysler,India,919
Pontiac,Australia,558
Volkswagen,Srilanka,784
Mazda,India,766
GMC,Australia,784
Plymouth,Srilanka,759
GMC,India,939
Nissan,Australia,997
Chevrolet,Srilanka,650
Lamborghini,India,682
Pontiac,South Africa,604
Dodge,America,539
Ford,Ireland,866
Jaguar,Poland,697
GMC,South Africa,652
Ford,America,570
Lexus,Ireland,723
Toyota,Poland,740
Mazda,South Africa,755
Mitsubishi,America,684
Volkswagen,Ireland,625
Honda,Poland,845
Ford,South Africa,876
Saturn,America,954
Acura,Ireland,939
Jaguar,Poland,826
Nissan,South Africa,872
Dodge,America,610
Chevrolet,Ireland,656
Bentley,Poland,555
Eagle,South Africa,964
Chevrolet,America,965
Chrysler,Ireland,851
Lotus,Poland,956
Volkswagen,South Africa,658
Ford,America,771
Mercedes-Benz,Ireland,812
Suzuki,Poland,918
Ford,South Africa,561
Acura,America,694
GMC,Ireland,796
Kia,Poland,627
Toyota,South Africa,921
Ford,America,965
Mitsubishi,Ireland,689
BMW,Poland,664
Audi,South Africa,560
Pontiac,America,675
Plymouth,Ireland,673
Toyota,Poland,870
Subaru,South Africa,512
Scion,America,546
Cadillac,Ireland,736
Volkswagen,Poland,578
Mazda,South Africa,900
Lexus,America,831
Chevrolet,Ireland,736
Acura,Poland,997
Mercury,South Africa,504
Hyundai,America,924
Jaguar,India,785
Honda,Australia,875
Mazda,Srilanka,910
Chevrolet,India,795
Chevrolet,Australia,915
Ford,Srilanka,690
Ferrari,India,873
Nissan,Australia,558
Mercedes-Benz,Srilanka,660
Honda,India,995
Ford,Australia,662
Mazda,Srilanka,840
Ford,India,883
Ford,Australia,817
Suzuki,Srilanka,910
Lincoln,India,596
Honda,Australia,646
Volkswagen,Srilanka,763
Mitsubishi,India,733
Mercedes-Benz,Australia,653
Bentley,Srilanka,844
Panoz,India,968
Mitsubishi,South Africa,842
Ford,America,614
Volvo,Ireland,694
Mazda,Poland,664
Toyota,South Africa,793
Ford,America,741
Mazda,Ireland,972
Dodge,Poland,517
Toyota,South Africa,724
Mitsubishi,America,742
Subaru,Ireland,916
Buick,Poland,728
Audi,South Africa,940
Toyota,America,880
Lexus,Ireland,774
Chevrolet,Poland,830
Pontiac,South Africa,781
Kia,America,800
Ford,Ireland,925
Lexus,Poland,522
Honda,South Africa,824
Nissan,America,777
Dodge,Ireland,704
GMC,Poland,658
Dodge,South Africa,538
Toyota,America,536
Mercedes-Benz,Ireland,963
Mazda,Poland,911
Ford,South Africa,693
Chevrolet,America,726
Mitsubishi,Ireland,678
Chevrolet,Poland,522
Honda,South Africa,951
Kia,America,546
Citroën,Ireland,667
Honda,Poland,829
Mercedes-Benz,South Africa,846
Honda,America,800
Audi,Ireland,945
Eagle,Poland,614
Mercedes-Benz,South Africa,658
Pontiac,America,608
Mercedes-Benz,Ireland,643
Lamborghini,Poland,750
Honda,South Africa,672
Suzuki,America,797
Chevrolet,Ireland,576
Suzuki,Poland,789
Eagle,South Africa,795
Jaguar,America,849
BMW,India,759
BMW,Australia,844
Chevrolet,Srilanka,525
Mazda,India,847
Audi,Australia,859
Lincoln,Srilanka,706
Lexus,India,980
Mercedes-Benz,Australia,738
Ford,Srilanka,677
Land Rover,India,545
BMW,Australia,776
Lincoln,Srilanka,962
GMC,India,788
GMC,Australia,686
Volkswagen,Srilanka,591
Mitsubishi,India,609
Volvo,Australia,978
Jaguar,Srilanka,767
GMC,India,562
Volkswagen,Australia,670
Jeep,Srilanka,667
Chrysler,India,762
Chrysler,South Africa,981
Acura,America,889
Chrysler,Ireland,994
Mitsubishi,Poland,911
Mercury,South Africa,991
Porsche,America,583
Buick,Ireland,710
Mercedes-Benz,Poland,795
Cadillac,South Africa,558
Toyota,America,531
GMC,Ireland,506
Subaru,Poland,816
Dodge,South Africa,564
Buick,America,621
Chevrolet,Ireland,928
Bentley,Poland,713
Land Rover,South Africa,748
GMC,America,974
GMC,Ireland,770
Infiniti,Poland,891
Mazda,South Africa,536
GMC,America,878
Ford,Ireland,739
GMC,Poland,710
Ford,South Africa,895
Pontiac,America,793
Mercury,Ireland,941
Audi,Poland,924
Buick,South Africa,792
Kia,America,796
Audi,Ireland,822
Saab,Poland,832
GMC,South Africa,691
Suzuki,America,819
Subaru,Ireland,705
Dodge,Poland,614
Chevrolet,South Africa,946
Suzuki,America,786
Buick,Ireland,640
Daewoo,Poland,963
McLaren,South Africa,997
Mazda,America,666
Chrysler,Ireland,706
GMC,Poland,712
Jeep,South Africa,963
BMW,America,994
Lexus,Ireland,694
GMC,Poland,912
Porsche,South Africa,877
Chevrolet,America,552
BMW,India,618
Mitsubishi,Australia,641
Cadillac,Srilanka,608
Ford,India,915
Mazda,Australia,867
Toyota,Srilanka,869
Chevrolet,India,924
MINI,Australia,881
Nissan,Srilanka,648
Mitsubishi,India,549
Oldsmobile,Australia,876
Dodge,Srilanka,927
GMC,India,546
Ford,Australia,788
Chevrolet,Srilanka,994
Chevrolet,India,705
Mitsubishi,Australia,853
Chevrolet,Srilanka,862
Nissan,India,985
Oldsmobile,Australia,853
Cadillac,Srilanka,853
Ford,India,532
Chevrolet,South Africa,792
Aston Martin,America,636
Saab,Ireland,736
Ford,Poland,536
Hyundai,South Africa,763
Saab,America,637
Hummer,Ireland,917
Dodge,Poland,634
MINI,South Africa,627
Mercedes-Benz,America,995
Buick,Ireland,938
Chevrolet,Poland,710
Nissan,South Africa,959
Dodge,America,804
Lotus,Ireland,827
Lamborghini,Poland,699
GMC,South Africa,944
Nissan,America,611
Hummer,Ireland,979
Ford,Poland,624
Chevrolet,South Africa,629
Pontiac,America,652
Dodge,Ireland,668
Chevrolet,Poland,972
Chevrolet,South Africa,943
BMW,America,677
Acura,Ireland,522
Audi,Poland,988
Maserati,South Africa,503
Chevrolet,America,570
Toyota,Ireland,561
BMW,Poland,558
Volkswagen,South Africa,805
Volkswagen,America,635
Honda,Ireland,500
Audi,Poland,541
Dodge,South Africa,528
Chevrolet,America,622
Subaru,Ireland,780
Suzuki,Poland,631
Hyundai,South Africa,594
Dodge,America,724
Oldsmobile,Ireland,643
Rolls-Royce,Poland,802
Pontiac,South Africa,738
Mercury,America,623
Porsche,Ireland,928
Ford,Poland,860
Mercedes-Benz,South Africa,955
Mercury,America,934
Land Rover,India,741
Chrysler,Australia,529
Pontiac,Srilanka,709
Aston Martin,India,655
Suzuki,Australia,996
Subaru,Srilanka,749
Land Rover,India,770
Dodge,Australia,748
Volvo,Srilanka,750
Toyota,India,675
Nissan,Australia,512
Acura,Srilanka,595
Ford,India,575
Chevrolet,Australia,787
Jeep,Srilanka,636
Ford,India,818
Dodge,Australia,976
Lexus,Srilanka,826
Porsche,India,890
Subaru,Australia,908
BMW,Srilanka,518
Mercedes-Benz,India,867
Hyundai,South Africa,697
Chevrolet,America,597
Pontiac,Ireland,889
Chevrolet,Poland,749
Dodge,South Africa,891
Land Rover,America,532
Jeep,Ireland,898
Lexus,Poland,630
Honda,South Africa,746
Chevrolet,America,930
Mazda,Ireland,986
Subaru,Poland,500
GMC,South Africa,631
Mercury,America,760
Dodge,Ireland,812
Pontiac,Poland,996
Suzuki,South Africa,606
Mitsubishi,America,649
Ford,Ireland,692
Acura,Poland,794
Mitsubishi,South Africa,713
GMC,America,786
Mazda,Ireland,566
Dodge,Poland,998
Cadillac,South Africa,828
Dodge,America,505
Pontiac,Ireland,751
GMC,Poland,755
Dodge,South Africa,505
Mazda,America,875
Saturn,Ireland,678
Porsche,Poland,943
Honda,South Africa,914
Buick,America,544
Chevrolet,Ireland,641
Chevrolet,Poland,699
Aston Martin,South Africa,756
Jeep,America,983
Mazda,Ireland,542
Saab,Poland,628
Mitsubishi,South Africa,786
Chrysler,America,708
Dodge,Ireland,674
Ford,Poland,622
Jeep,South Africa,777
Mitsubishi,America,642
Subaru,Ireland,788
Lexus,Poland,636
Toyota,South Africa,728
Toyota,America,830
BMW,India,643
Dodge,Australia,520
Lexus,Srilanka,885
Dodge,India,833
Lincoln,Australia,952
Pontiac,Srilanka,842
Ford,India,668
Saab,Australia,884
Toyota,Srilanka,848
Nissan,India,510
Audi,Australia,533
Mazda,Srilanka,775
BMW,India,780
Chevrolet,Australia,710
Oldsmobile,Srilanka,945
Audi,India,716
Dodge,Australia,589
Mercury,Srilanka,684
Honda,India,892
Acura,Australia,909
Jaguar,Srilanka,502
GMC,India,678
Chrysler,South Africa,738
Nissan,America,502
Chevrolet,Ireland,710
Ford,Poland,755
Mazda,South Africa,619
GMC,America,720
Chevrolet,Ireland,542
Volkswagen,Poland,651
Cadillac,South Africa,931
Mazda,America,566
Toyota,Ireland,804
Saturn,Poland,752
Chrysler,South Africa,509
Aston Martin,America,720
Ford,Ireland,846
Plymouth,Poland,901
Chevrolet,South Africa,851
Audi,America,852
Toyota,Ireland,905
GMC,Poland,938
Chrysler,South Africa,588
Mazda,America,554
Lincoln,Ireland,639
Ford,Poland,697
Lincoln,South Africa,689
Toyota,America,532
Mazda,Ireland,981
Geo,Poland,637
Pontiac,South Africa,712
Jaguar,America,525
Toyota,Ireland,711
Lexus,Poland,764
Chevrolet,South Africa,891
Buick,America,832
Chevrolet,Ireland,622
Lamborghini,Poland,750
Pontiac,South Africa,698
Lamborghini,America,676
Dodge,Ireland,593
Chevrolet,Poland,594
Mercedes-Benz,South Africa,928
Dodge,America,795
Acura,Ireland,994
Mazda,Poland,519
Mazda,South Africa,576
Subaru,America,633
Scion,Ireland,998
Volvo,Poland,769
Oldsmobile,South Africa,600
Volkswagen,America,720
Volvo,India,662
GMC,Australia,926
Kia,Srilanka,567
Hyundai,India,826
Pontiac,Australia,795
Pontiac,Srilanka,736
Volvo,India,863
Audi,Australia,927
MINI,Srilanka,712
Land Rover,India,863
Pontiac,Australia,712
Lexus,Srilanka,569
Infiniti,India,955
Volkswagen,Australia,772
Cadillac,Srilanka,546
Bentley,India,630
Mitsubishi,Australia,918
Infiniti,Srilanka,770
Saturn,India,523
Ford,Australia,644
Mercedes-Benz,Srilanka,840
GMC,India,908
Mazda,South Africa,941
Volkswagen,America,543
Nissan,Ireland,586
Buick,Poland,868
Dodge,South Africa,981
Audi,America,580
Buick,Ireland,575
Chevrolet,Poland,632
Chevrolet,South Africa,869
Honda,America,964
Dodge,Ireland,994
GMC,Poland,666
Porsche,South Africa,557
Chevrolet,America,551
Cadillac,Ireland,825
Mercury,Poland,971
Toyota,South Africa,880
Saab,America,838
Jeep,Ireland,724
Buick,Poland,530
Porsche,South Africa,574
Ford,America,602
Dodge,Ireland,889
Nissan,Poland,854
GMC,South Africa,681
Isuzu,America,844
Lexus,Ireland,650
Mitsubishi,Poland,663
Oldsmobile,South Africa,756
Aston Martin,America,616
Pontiac,Ireland,655
Infiniti,Poland,544
Peugeot,South Africa,599
Mazda,America,640
Lotus,Ireland,754
GMC,Poland,781
Ford,South Africa,615
Nissan,America,968
Dodge,Ireland,605
Chevrolet,Poland,539
Jeep,South Africa,833
Dodge,America,721
Dodge,Ireland,872
Land Rover,Poland,615
Subaru,South Africa,719
Chevrolet,America,599
Chevrolet,Ireland,651
Chevrolet,Poland,976
Lexus,South Africa,757
Dodge,America,544
Mercedes-Benz,India,634
Acura,Australia,535
GMC,Srilanka,503
Volkswagen,India,711
Lincoln,Australia,998
Chevrolet,Srilanka,657
Acura,India,744
Toyota,Australia,950
GMC,Srilanka,619
Mitsubishi,India,934
Mitsubishi,Australia,742
Mazda,Srilanka,787
Ford,India,516
Mitsubishi,Australia,618
Chevrolet,Srilanka,767
Chevrolet,India,637
Chevrolet,Australia,679
Nissan,Srilanka,724
Toyota,India,652
Ford,Australia,633
Subaru,Srilanka,620
Mitsubishi,India,900
Ford,South Africa,588
Maybach,America,679
Audi,Ireland,604
Toyota,Poland,636
Lincoln,South Africa,977
Mazda,America,660
Infiniti,Ireland,570
Chevrolet,Poland,729
Mitsubishi,South Africa,945
Chevrolet,America,850
Mitsubishi,Ireland,525
Toyota,Poland,956
Lincoln,South Africa,640
Toyota,America,670
Suzuki,Ireland,744
Spyker,Poland,996
Buick,South Africa,584
Lotus,America,617
Chevrolet,Ireland,829
Lamborghini,Poland,704
Cadillac,South Africa,773
Nissan,America,522
Ford,Ireland,787
Chevrolet,Poland,877
Hyundai,South Africa,512
Subaru,America,522
Chevrolet,Ireland,833
Acura,Poland,880
Buick,South Africa,655
BMW,America,853
Mazda,Ireland,584
Volkswagen,Poland,612
Jeep,South Africa,855
Nissan,America,711
Bentley,Ireland,700
Mercury,Poland,691
Jeep,South Africa,850
Lincoln,America,677
Suzuki,Ireland,775
Mercedes-Benz,Poland,547
Isuzu,South Africa,610
Hyundai,America,765
Cadillac,Ireland,704
Ford,Poland,923
Infiniti,South Africa,559
Honda,America,765
Ford,Ireland,841
Lincoln,Poland,816
Bugatti,South Africa,698
Volkswagen,India,623
Bentley,Australia,526
Cadillac,Srilanka,566
Mercedes-Benz,India,916
GMC,Australia,828
Citroën,Srilanka,761
Mazda,India,833
Isuzu,Australia,921
Saturn,Srilanka,986
Aston Martin,India,832
Chevrolet,Australia,875
Audi,Srilanka,941
Volkswagen,India,961
Chevrolet,Australia,805
Audi,Srilanka,765
Smart,India,899
Lotus,Australia,756
Mercedes-Benz,Srilanka,862
Chevrolet,India,984
Cadillac,Australia,525
Land Rover,Srilanka,705
Pontiac,India,879
Buick,South Africa,635
Chevrolet,America,819
Lexus,Ireland,928
Eagle,Poland,687
Maserati,South Africa,638
Isuzu,America,926
Chevrolet,Ireland,851
Toyota,Poland,774
Honda,South Africa,931
Lexus,America,909
Volkswagen,Ireland,514
Lexus,Poland,869
Audi,South Africa,888
Lotus,America,812
BMW,Ireland,733
Lamborghini,Poland,564
Maybach,South Africa,522
Volkswagen,America,561
Land Rover,Ireland,572
Cadillac,Poland,617
Lincoln,South Africa,754
Subaru,America,948
Mercury,Ireland,869
GMC,Poland,749
Ford,South Africa,770
Mazda,America,529
BMW,Ireland,702
GMC,Poland,639
Audi,South Africa,604
Chevrolet,America,770
Honda,Ireland,956
Toyota,Poland,713
Ford,South Africa,670
Jaguar,America,757
GMC,Ireland,805
Isuzu,Poland,537
Chrysler,South Africa,664
Dodge,America,872
Ford,Ireland,866
GMC,Poland,906
Acura,South Africa,758
Lexus,America,551
Lotus,Ireland,585
Bentley,Poland,641
Kia,South Africa,858
GMC,America,856
Ford,Ireland,661
Mitsubishi,Poland,976
Hyundai,South Africa,543
Toyota,India,928
Daihatsu,Australia,876
Ford,Srilanka,776
Audi,India,540
Ford,Australia,906
Scion,Srilanka,899
Chrysler,India,897
Cadillac,Australia,510
Acura,Srilanka,651
Chevrolet,India,943
Cadillac,Australia,726
Dodge,Srilanka,522
Kia,India,690
Lexus,Australia,767
Mitsubishi,Srilanka,831
Buick,India,560
Rolls-Royce,Australia,988
Ford,Srilanka,577
Toyota,India,981
Chrysler,Australia,690
Kia,Srilanka,979
Lamborghini,India,516
GMC,South Africa,912
Mercury,America,642
Ford,Ireland,922
Chrysler,Poland,864
Chevrolet,South Africa,996
Mitsubishi,America,947
Plymouth,Ireland,662
Ford,Poland,563
Lotus,South Africa,839
Honda,America,733
Subaru,Ireland,895
Lincoln,Poland,725
Buick,South Africa,958
Lamborghini,America,737
GMC,Ireland,778
Mitsubishi,Poland,827
Infiniti,South Africa,592
Buick,America,629
Buick,Ireland,696
Oldsmobile,Poland,515
Infiniti,South Africa,544
Chevrolet,America,846
Lexus,Ireland,763
Dodge,Poland,740
Aston Martin,South Africa,665
Toyota,America,788
Ford,Ireland,576
BMW,Poland,826
Kia,South Africa,606
Lexus,America,990
Kia,Ireland,688
Lincoln,Poland,738
Honda,South Africa,708
Saturn,America,661
Acura,Ireland,534
Geo,Poland,575
Nissan,South Africa,795
Jaguar,America,726
Cadillac,Ireland,780
Saab,Poland,854
Suzuki,South Africa,800
Pontiac,America,661
Mazda,Ireland,695
Dodge,Poland,694
Plymouth,South Africa,751
Mazda,America,721
Ford,Ireland,719
Toyota,Poland,748
GMC,South Africa,713
Mitsubishi,India,794
Toyota,Australia,871
Ford,Srilanka,751
BMW,India,630
Audi,Australia,668
Honda,Srilanka,566
GMC,India,603
Mitsubishi,Australia,812
Jaguar,Srilanka,578
Honda,India,957
Plymouth,Australia,709
BMW,Srilanka,964
Lexus,India,777
Toyota,Australia,807
Toyota,Srilanka,660
Chevrolet,India,908
Volkswagen,Australia,518
Lincoln,Srilanka,976
Jaguar,India,901
Toyota,Australia,813
Chevrolet,Srilanka,844
Chevrolet,India,869
Nissan,South Africa,813
Chevrolet,America,704
Volkswagen,Ireland,937
Chevrolet,Poland,606
Ford,South Africa,728
Ford,America,807
Nissan,Ireland,568
Toyota,Poland,735
GMC,South Africa,783
Ford,America,542
Toyota,Ireland,722
Ferrari,Poland,787
Lotus,South Africa,695
Bentley,America,767
Infiniti,Ireland,681
Isuzu,Poland,745
Hyundai,South Africa,570
GMC,America,907
Subaru,Ireland,521
Chevrolet,Poland,954
Mazda,South Africa,517
Mercedes-Benz,America,638
Ford,Ireland,866
Pontiac,Poland,854
Ford,South Africa,640
Nissan,America,928
Buick,Ireland,529
GMC,Poland,518
Suzuki,South Africa,798
Chevrolet,America,848
Kia,Ireland,995
Chevrolet,Poland,768
Lexus,South Africa,979
Buick,America,585
Aston Martin,Ireland,995
Buick,Poland,845
Acura,South Africa,875
Chevrolet,America,747
Cadillac,Ireland,513
Mercedes-Benz,Poland,662
Isuzu,South Africa,577
Chevrolet,America,672
Chevrolet,Ireland,504
Mercedes-Benz,Poland,611
Honda,South Africa,514
Hummer,America,930
Ford,Ireland,934
GMC,Poland,984
Chevrolet,South Africa,592
Honda,India,713
Mitsubishi,Australia,946
Ford,Srilanka,776
Mercedes-Benz,India,588
Volvo,Australia,690
BMW,Srilanka,917
Lincoln,India,953
Buick,Australia,787
Toyota,Srilanka,821
Chrysler,India,709
Chevrolet,Australia,682
Mitsubishi,Srilanka,682
Toyota,India,631
Ford,Australia,967
Honda,Srilanka,712
Oldsmobile,India,558
Ford,Australia,678
Volkswagen,Srilanka,988
Mitsubishi,India,873
BMW,Australia,810
Chevrolet,Srilanka,813
Chrysler,India,819
Jaguar,South Africa,913
Nissan,America,577
Chevrolet,Ireland,874
Land Rover,Poland,514
Ford,South Africa,955
Dodge,America,836
Toyota,Ireland,852
Mitsubishi,Poland,850
Toyota,South Africa,719
Plymouth,America,804
Hyundai,Ireland,767
Pontiac,Poland,798
Ford,South Africa,534
Audi,America,517
GMC,Ireland,756
Oldsmobile,Poland,532
Hyundai,South Africa,599
Volkswagen,America,601
Ford,Ireland,712
Lincoln,Poland,738
Nissan,South Africa,716
Lexus,America,627
Dodge,Ireland,676
MINI,Poland,752
Ford,South Africa,968
Isuzu,America,769
Volkswagen,Ireland,902
BMW,Poland,534
GMC,South Africa,949
Nissan,America,896
Honda,Ireland,601
Chevrolet,Poland,955
Toyota,South Africa,827
Cadillac,America,604
Chrysler,Ireland,934
Pontiac,Poland,582
Mitsubishi,South Africa,695
Dodge,America,686
Volvo,Ireland,832
Chrysler,Poland,611
Jeep,South Africa,640
GMC,America,755
Audi,Ireland,690
Jaguar,Poland,966
Lamborghini,South Africa,866
Honda,America,621
Nissan,Ireland,519
Land Rover,Poland,996
Pontiac,South Africa,938
Buick,India,966
Cadillac,Australia,940
Land Rover,Srilanka,774
Saab,India,969
Ford,Australia,752
Volkswagen,Srilanka,858
Audi,India,978
Chevrolet,Australia,557
Dodge,Srilanka,762
Hyundai,India,786
Dodge,Australia,907
Ford,Srilanka,622
Chevrolet,India,689
Volvo,Australia,969
Chevrolet,Srilanka,601
Scion,India,975
Infiniti,Australia,963
GMC,Srilanka,695
Kia,India,516
Buick,Australia,646
Jeep,Srilanka,876
Plymouth,India,653
Mercedes-Benz,South Africa,630
Lincoln,America,843
Ford,Ireland,738
Maybach,Poland,855
Mazda,South Africa,913
Mitsubishi,America,744
GMC,Ireland,830
Toyota,Poland,844
Ford,South Africa,775
GMC,America,593
Subaru,Ireland,578
Mercedes-Benz,Poland,856
BMW,South Africa,922
Cadillac,America,750
Mazda,Ireland,605
Lexus,Poland,914
Mercury,South Africa,831
Chevrolet,America,985
Mitsubishi,Ireland,917
Ferrari,Poland,738
Toyota,South Africa,887
Mitsubishi,America,916
Subaru,Ireland,805
Ford,Poland,863
Honda,South Africa,554
Mazda,America,592
Maserati,Ireland,727
Isuzu,Poland,638
Foose,South Africa,873
Ford,America,953
Infiniti,Ireland,962
Mercedes-Benz,Poland,579
Audi,South Africa,680
Oldsmobile,America,933
Bentley,Ireland,645
BMW,Poland,1000
Mitsubishi,South Africa,931
Ford,America,719
Buick,Ireland,726
Toyota,Poland,939
GMC,South Africa,962
Volkswagen,America,665
Chevrolet,Ireland,894
Chevrolet,Poland,820
Chevrolet,South Africa,814
Lamborghini,America,546
Ford,Ireland,870
BMW,Poland,862
Land Rover,South Africa,830
Chevrolet,India,716
Mazda,Australia,787
